Nodo,Datos
351,"{'ID': 351, 'Marca': 'Barracuda Networks', 'Modelo': 'pBPI0W', 'Puertos': 29, 'Ubicacion': (57.097864751066766, 52.444406710848014), 'AnchoDeBanda': 756}"
352,"{'ID': 352, 'Marca': 'Check Point', 'Modelo': 'aUwVjL', 'Puertos': 22, 'Ubicacion': (55.913461114618656, 9.422550251188799), 'AnchoDeBanda': 333}"
353,"{'ID': 353, 'Marca': 'FireEye', 'Modelo': 'L0P5EH', 'Puertos': 6, 'Ubicacion': (47.79292131407278, 25.681821194144728), 'AnchoDeBanda': 234}"
354,"{'ID': 354, 'Marca': 'Pulse Secure', 'Modelo': 'ERhpNF', 'Puertos': 24, 'Ubicacion': (73.60531888841012, 51.74554473934527), 'AnchoDeBanda': 961}"
355,"{'ID': 355, 'Marca': 'Juniper Networks', 'Modelo': '28knPn', 'Puertos': 11, 'Ubicacion': (98.34312035877078, 95.00403693065182), 'AnchoDeBanda': 562}"
356,"{'ID': 356, 'Marca': 'Zyxel', 'Modelo': 'fSbBEE', 'Puertos': 17, 'Ubicacion': (36.04725839615072, 54.06094629197933), 'AnchoDeBanda': 680}"
357,"{'ID': 357, 'Marca': 'Ruckus Networks', 'Modelo': 'AVqN9x', 'Puertos': 43, 'Ubicacion': (39.784926829704844, 42.29956525078724), 'AnchoDeBanda': 695}"
358,"{'ID': 358, 'Marca': 'Juniper Networks', 'Modelo': '7BQXJ2', 'Puertos': 33, 'Ubicacion': (3.8438179255115057, 23.78174459533382), 'AnchoDeBanda': 63}"
359,"{'ID': 359, 'Marca': 'Cisco', 'Modelo': 'AIrZdy', 'Puertos': 9, 'Ubicacion': (35.77943044565195, 8.129731281534458), 'AnchoDeBanda': 848}"
360,"{'ID': 360, 'Marca': 'Cisco', 'Modelo': 'PnsmGC', 'Puertos': 13, 'Ubicacion': (33.341117295721446, 44.063489152348204), 'AnchoDeBanda': 720}"
361,"{'ID': 361, 'Marca': 'Avaya', 'Modelo': 'YM7eYp', 'Puertos': 16, 'Ubicacion': (74.67877376210559, 68.82162720464913), 'AnchoDeBanda': 292}"
362,"{'ID': 362, 'Marca': 'Barracuda Networks', 'Modelo': 'fLQHHt', 'Puertos': 43, 'Ubicacion': (83.52057162502886, 78.97963447736669), 'AnchoDeBanda': 995}"
363,"{'ID': 363, 'Marca': 'Netgear', 'Modelo': '4R06x4', 'Puertos': 49, 'Ubicacion': (40.63335212583667, 48.43532547894205), 'AnchoDeBanda': 846}"
364,"{'ID': 364, 'Marca': 'Juniper Networks', 'Modelo': 'QHRjv6', 'Puertos': 36, 'Ubicacion': (17.688599773962853, 45.354087995787), 'AnchoDeBanda': 860}"
365,"{'ID': 365, 'Marca': 'Riverbed Technology', 'Modelo': 'aSXqc6', 'Puertos': 16, 'Ubicacion': (71.2888976859526, 23.87120705492244), 'AnchoDeBanda': 370}"
366,"{'ID': 366, 'Marca': 'HP', 'Modelo': '9BUyRO', 'Puertos': 48, 'Ubicacion': (8.23996023240825, 38.997085729733286), 'AnchoDeBanda': 54}"
367,"{'ID': 367, 'Marca': 'Check Point', 'Modelo': 'pZNglE', 'Puertos': 17, 'Ubicacion': (11.68710700381551, 56.84495611432065), 'AnchoDeBanda': 92}"
368,"{'ID': 368, 'Marca': 'Ruckus Networks', 'Modelo': 'xopNRP', 'Puertos': 39, 'Ubicacion': (48.95166498677632, 20.95031700593436), 'AnchoDeBanda': 873}"
369,"{'ID': 369, 'Marca': 'Avaya', 'Modelo': 'slftUY', 'Puertos': 46, 'Ubicacion': (7.347501219782771, 70.31720423461311), 'AnchoDeBanda': 108}"
370,"{'ID': 370, 'Marca': 'Juniper Networks', 'Modelo': 'Q1SkXI', 'Puertos': 5, 'Ubicacion': (11.278210058069327, 31.265211121111992), 'AnchoDeBanda': 349}"
371,"{'ID': 371, 'Marca': 'F5 Networks', 'Modelo': '5TvVa2', 'Puertos': 36, 'Ubicacion': (33.984854168958954, 66.13072142165828), 'AnchoDeBanda': 29}"
372,"{'ID': 372, 'Marca': 'F5 Networks', 'Modelo': '5092KR', 'Puertos': 8, 'Ubicacion': (54.13927198196814, 85.00985476770232), 'AnchoDeBanda': 534}"
373,"{'ID': 373, 'Marca': 'Huawei', 'Modelo': 'N0y4Qh', 'Puertos': 33, 'Ubicacion': (35.286464819821916, 85.40402992205706), 'AnchoDeBanda': 374}"
374,"{'ID': 374, 'Marca': 'Cisco', 'Modelo': '0QIyYP', 'Puertos': 7, 'Ubicacion': (73.744846370418, 42.28268170906626), 'AnchoDeBanda': 74}"
375,"{'ID': 375, 'Marca': 'Avaya', 'Modelo': 'fOHSd7', 'Puertos': 41, 'Ubicacion': (89.90965665994317, 28.627137369858357), 'AnchoDeBanda': 287}"
376,"{'ID': 376, 'Marca': 'Netgear', 'Modelo': '1WplC9', 'Puertos': 41, 'Ubicacion': (98.43422765645383, 78.12604399956655), 'AnchoDeBanda': 790}"
377,"{'ID': 377, 'Marca': 'Check Point', 'Modelo': 'Cv69jy', 'Puertos': 40, 'Ubicacion': (3.4725953332872095, 67.56442210785383), 'AnchoDeBanda': 543}"
378,"{'ID': 378, 'Marca': 'Juniper Networks', 'Modelo': 'OZ7q4O', 'Puertos': 39, 'Ubicacion': (87.31643311179485, 88.37993322059494), 'AnchoDeBanda': 113}"
379,"{'ID': 379, 'Marca': 'FireEye', 'Modelo': 'G1KW9v', 'Puertos': 45, 'Ubicacion': (70.4340651111523, 20.19129210191306), 'AnchoDeBanda': 936}"
380,"{'ID': 380, 'Marca': 'Check Point', 'Modelo': 'pktFs9', 'Puertos': 35, 'Ubicacion': (56.96264991577171, 49.988819700096), 'AnchoDeBanda': 986}"
381,"{'ID': 381, 'Marca': 'Huawei', 'Modelo': '0lEF6G', 'Puertos': 50, 'Ubicacion': (93.47927072334905, 86.81379248027167), 'AnchoDeBanda': 470}"
382,"{'ID': 382, 'Marca': 'Netgear', 'Modelo': 'h9D132', 'Puertos': 21, 'Ubicacion': (27.47388910802607, 19.05668780595593), 'AnchoDeBanda': 377}"
383,"{'ID': 383, 'Marca': 'Ruckus Networks', 'Modelo': 'YLvd8Y', 'Puertos': 15, 'Ubicacion': (92.80260439849019, 46.76320942847585), 'AnchoDeBanda': 404}"
384,"{'ID': 384, 'Marca': 'HP', 'Modelo': 'NJueoX', 'Puertos': 21, 'Ubicacion': (29.658403180093718, 17.52253941459928), 'AnchoDeBanda': 460}"
385,"{'ID': 385, 'Marca': 'Check Point', 'Modelo': 'XDWMHn', 'Puertos': 17, 'Ubicacion': (68.6256599403347, 72.77319399837538), 'AnchoDeBanda': 623}"
386,"{'ID': 386, 'Marca': 'Netgear', 'Modelo': '8kZ4cr', 'Puertos': 8, 'Ubicacion': (47.63100720549183, 48.95144122399127), 'AnchoDeBanda': 83}"
387,"{'ID': 387, 'Marca': 'F5 Networks', 'Modelo': '02tb5T', 'Puertos': 38, 'Ubicacion': (85.20205871648588, 87.6909122935775), 'AnchoDeBanda': 493}"
388,"{'ID': 388, 'Marca': 'F5 Networks', 'Modelo': '9joGgv', 'Puertos': 6, 'Ubicacion': (73.72717750125827, 53.209673647893396), 'AnchoDeBanda': 666}"
389,"{'ID': 389, 'Marca': 'FireEye', 'Modelo': 'tPJlZi', 'Puertos': 5, 'Ubicacion': (90.6991580123438, 32.63923857182229), 'AnchoDeBanda': 693}"
390,"{'ID': 390, 'Marca': 'Pulse Secure', 'Modelo': 'XiCbUv', 'Puertos': 35, 'Ubicacion': (36.06095795129149, 69.14546022957192), 'AnchoDeBanda': 877}"
391,"{'ID': 391, 'Marca': 'Ubiquiti Networks', 'Modelo': 'NWZhMn', 'Puertos': 41, 'Ubicacion': (27.257375977556954, 15.218706177824293), 'AnchoDeBanda': 795}"
392,"{'ID': 392, 'Marca': 'HP', 'Modelo': 'jBJzZj', 'Puertos': 29, 'Ubicacion': (68.84003677747289, 42.72029359908751), 'AnchoDeBanda': 50}"
393,"{'ID': 393, 'Marca': 'Barracuda Networks', 'Modelo': 'Z054C3', 'Puertos': 18, 'Ubicacion': (15.974652138586098, 15.49868388624336), 'AnchoDeBanda': 550}"
394,"{'ID': 394, 'Marca': 'Dell', 'Modelo': 'WgQpe4', 'Puertos': 42, 'Ubicacion': (6.230645569585325, 44.7342892450737), 'AnchoDeBanda': 743}"
395,"{'ID': 395, 'Marca': 'Netgear', 'Modelo': 'c2rzHY', 'Puertos': 35, 'Ubicacion': (41.98121149874482, 36.249671254927016), 'AnchoDeBanda': 217}"
396,"{'ID': 396, 'Marca': 'Barracuda Networks', 'Modelo': '9qTM5s', 'Puertos': 19, 'Ubicacion': (21.38891450942051, 27.012984142345054), 'AnchoDeBanda': 229}"
397,"{'ID': 397, 'Marca': 'Juniper Networks', 'Modelo': 'uxFxN2', 'Puertos': 14, 'Ubicacion': (79.40676022495134, 27.52104996919824), 'AnchoDeBanda': 577}"
398,"{'ID': 398, 'Marca': 'Aruba Networks', 'Modelo': 'CIX5iF', 'Puertos': 40, 'Ubicacion': (97.60710813472045, 0.6238150605367032), 'AnchoDeBanda': 960}"
399,"{'ID': 399, 'Marca': 'Barracuda Networks', 'Modelo': 'x8bxrZ', 'Puertos': 28, 'Ubicacion': (87.63344121302622, 34.599191154030905), 'AnchoDeBanda': 221}"
400,"{'ID': 400, 'Marca': 'Barracuda Networks', 'Modelo': 'Ze8mSC', 'Puertos': 6, 'Ubicacion': (52.224711270637805, 42.1957058962189), 'AnchoDeBanda': 210}"
401,"{'ID': 401, 'Marca': 'Dell', 'Modelo': '4N0dl6', 'Puertos': 16, 'Ubicacion': (57.47674530049346, 72.59937721023135), 'AnchoDeBanda': 792}"
402,"{'ID': 402, 'Marca': 'HP', 'Modelo': 'jk1Zap', 'Puertos': 12, 'Ubicacion': (68.60440049656424, 61.85638249628253), 'AnchoDeBanda': 922}"
403,"{'ID': 403, 'Marca': 'Check Point', 'Modelo': 'i0YJPE', 'Puertos': 27, 'Ubicacion': (19.837397317279525, 88.99005863143725), 'AnchoDeBanda': 36}"
404,"{'ID': 404, 'Marca': 'Check Point', 'Modelo': '1ykSbl', 'Puertos': 32, 'Ubicacion': (96.59143654749735, 37.69455617211833), 'AnchoDeBanda': 152}"
405,"{'ID': 405, 'Marca': 'Barracuda Networks', 'Modelo': 's0w5nf', 'Puertos': 47, 'Ubicacion': (17.272913978012983, 65.38925431294274), 'AnchoDeBanda': 735}"
406,"{'ID': 406, 'Marca': 'F5 Networks', 'Modelo': 'cGWKB7', 'Puertos': 39, 'Ubicacion': (31.56566184605245, 42.535788187920595), 'AnchoDeBanda': 453}"
407,"{'ID': 407, 'Marca': 'Barracuda Networks', 'Modelo': 'cHScul', 'Puertos': 40, 'Ubicacion': (86.20694369617404, 28.42055713632866), 'AnchoDeBanda': 821}"
408,"{'ID': 408, 'Marca': 'Check Point', 'Modelo': 'PzWEwT', 'Puertos': 49, 'Ubicacion': (53.03574162522475, 0.9238018834317407), 'AnchoDeBanda': 481}"
409,"{'ID': 409, 'Marca': 'Netgear', 'Modelo': 'DrnaO1', 'Puertos': 8, 'Ubicacion': (10.890186104708865, 29.156055241270973), 'AnchoDeBanda': 924}"
410,"{'ID': 410, 'Marca': 'Riverbed Technology', 'Modelo': 'cK9ya6', 'Puertos': 27, 'Ubicacion': (17.411755756008883, 4.858505834344129), 'AnchoDeBanda': 281}"
411,"{'ID': 411, 'Marca': 'Huawei', 'Modelo': 'VueELw', 'Puertos': 21, 'Ubicacion': (49.77381643265267, 8.444673385278312), 'AnchoDeBanda': 922}"
412,"{'ID': 412, 'Marca': 'Juniper Networks', 'Modelo': 'Mtvcmw', 'Puertos': 18, 'Ubicacion': (54.663035702754094, 59.15915219348975), 'AnchoDeBanda': 949}"
413,"{'ID': 413, 'Marca': 'Pulse Secure', 'Modelo': 'vrSHwA', 'Puertos': 44, 'Ubicacion': (43.90464600691823, 73.51862757294391), 'AnchoDeBanda': 795}"
414,"{'ID': 414, 'Marca': 'Dell', 'Modelo': 'tqOtEz', 'Puertos': 38, 'Ubicacion': (8.266567203695141, 34.18554970999701), 'AnchoDeBanda': 832}"
415,"{'ID': 415, 'Marca': 'Riverbed Technology', 'Modelo': '3zOLz8', 'Puertos': 46, 'Ubicacion': (57.180700584734154, 24.553273842784286), 'AnchoDeBanda': 666}"
416,"{'ID': 416, 'Marca': 'Cisco', 'Modelo': 'pAe5mS', 'Puertos': 22, 'Ubicacion': (83.1701331692086, 95.14547521502516), 'AnchoDeBanda': 202}"
417,"{'ID': 417, 'Marca': 'Netgear', 'Modelo': 'z1qB5v', 'Puertos': 9, 'Ubicacion': (35.1964674914708, 37.25349710243331), 'AnchoDeBanda': 956}"
418,"{'ID': 418, 'Marca': 'F5 Networks', 'Modelo': '6ffOrb', 'Puertos': 30, 'Ubicacion': (20.58854595667161, 44.41961912683624), 'AnchoDeBanda': 92}"
419,"{'ID': 419, 'Marca': 'FireEye', 'Modelo': 'l7sWO8', 'Puertos': 30, 'Ubicacion': (9.157953851128465, 65.41160166819824), 'AnchoDeBanda': 890}"
420,"{'ID': 420, 'Marca': 'Juniper Networks', 'Modelo': '84tcCn', 'Puertos': 16, 'Ubicacion': (60.54659248613413, 52.73197228674432), 'AnchoDeBanda': 901}"
421,"{'ID': 421, 'Marca': 'Cisco', 'Modelo': 'rNYSe6', 'Puertos': 10, 'Ubicacion': (2.702897585269237, 1.2375436711232868), 'AnchoDeBanda': 174}"
422,"{'ID': 422, 'Marca': 'TP-Link', 'Modelo': 'UOInGo', 'Puertos': 34, 'Ubicacion': (92.5575868919523, 29.435736923814193), 'AnchoDeBanda': 222}"
423,"{'ID': 423, 'Marca': 'Check Point', 'Modelo': 'jRFnVy', 'Puertos': 17, 'Ubicacion': (88.97473092565149, 12.43738820266891), 'AnchoDeBanda': 135}"
424,"{'ID': 424, 'Marca': 'Check Point', 'Modelo': 'E000kG', 'Puertos': 31, 'Ubicacion': (25.097514188129566, 3.8022260282728926), 'AnchoDeBanda': 920}"
425,"{'ID': 425, 'Marca': 'HP', 'Modelo': 'ybIR2P', 'Puertos': 13, 'Ubicacion': (19.111502438313575, 4.292027350149641), 'AnchoDeBanda': 812}"
426,"{'ID': 426, 'Marca': 'Check Point', 'Modelo': 'EedsrU', 'Puertos': 35, 'Ubicacion': (6.466509261720987, 97.23178472659387), 'AnchoDeBanda': 167}"
427,"{'ID': 427, 'Marca': 'Barracuda Networks', 'Modelo': 'AlD3YU', 'Puertos': 39, 'Ubicacion': (85.50910241892609, 47.15661128166562), 'AnchoDeBanda': 292}"
428,"{'ID': 428, 'Marca': 'Huawei', 'Modelo': 'Ev1XUs', 'Puertos': 46, 'Ubicacion': (28.871968997533195, 13.415322361701188), 'AnchoDeBanda': 905}"
429,"{'ID': 429, 'Marca': 'Zyxel', 'Modelo': 'DWFJJT', 'Puertos': 47, 'Ubicacion': (6.528971179398468, 69.41042525783699), 'AnchoDeBanda': 546}"
430,"{'ID': 430, 'Marca': 'Avaya', 'Modelo': '3GCgbm', 'Puertos': 36, 'Ubicacion': (48.123615869002045, 82.10524919838348), 'AnchoDeBanda': 7}"
431,"{'ID': 431, 'Marca': 'Cisco', 'Modelo': 'NLvqZJ', 'Puertos': 39, 'Ubicacion': (39.613222463905714, 42.026416620471885), 'AnchoDeBanda': 189}"
432,"{'ID': 432, 'Marca': 'Cisco', 'Modelo': 'VYNlc3', 'Puertos': 30, 'Ubicacion': (63.009872280790205, 76.29455991754057), 'AnchoDeBanda': 673}"
433,"{'ID': 433, 'Marca': 'Check Point', 'Modelo': 'XQ8JzU', 'Puertos': 41, 'Ubicacion': (24.96492874332081, 90.57067471658583), 'AnchoDeBanda': 13}"
434,"{'ID': 434, 'Marca': 'Zyxel', 'Modelo': 'g0s7Ds', 'Puertos': 18, 'Ubicacion': (23.811361623544414, 31.904604657456947), 'AnchoDeBanda': 60}"
435,"{'ID': 435, 'Marca': 'Ruckus Networks', 'Modelo': 'GzIw2y', 'Puertos': 38, 'Ubicacion': (19.157917518927214, 41.323834090767555), 'AnchoDeBanda': 397}"
436,"{'ID': 436, 'Marca': 'Barracuda Networks', 'Modelo': 'ZqUYi0', 'Puertos': 18, 'Ubicacion': (80.83322018962235, 10.620845212790941), 'AnchoDeBanda': 509}"
437,"{'ID': 437, 'Marca': 'Netgear', 'Modelo': 'J6uv7s', 'Puertos': 16, 'Ubicacion': (6.994072339148161, 9.086060729552425), 'AnchoDeBanda': 731}"
438,"{'ID': 438, 'Marca': 'Ubiquiti Networks', 'Modelo': 'xqoGvd', 'Puertos': 48, 'Ubicacion': (89.00081082021329, 6.385095594544088), 'AnchoDeBanda': 903}"
439,"{'ID': 439, 'Marca': 'F5 Networks', 'Modelo': 'D0eqpd', 'Puertos': 40, 'Ubicacion': (79.62227297860129, 65.34770476489855), 'AnchoDeBanda': 861}"
440,"{'ID': 440, 'Marca': 'F5 Networks', 'Modelo': 'tCbzLD', 'Puertos': 16, 'Ubicacion': (36.399985552567436, 9.08196120346252), 'AnchoDeBanda': 74}"
441,"{'ID': 441, 'Marca': 'Dell', 'Modelo': 'rtIY6F', 'Puertos': 45, 'Ubicacion': (6.862257285813134, 79.94939608090826), 'AnchoDeBanda': 228}"
442,"{'ID': 442, 'Marca': 'Huawei', 'Modelo': 'hfTK39', 'Puertos': 33, 'Ubicacion': (17.587752190136385, 1.7861193992443347), 'AnchoDeBanda': 45}"
443,"{'ID': 443, 'Marca': 'Pulse Secure', 'Modelo': 'oim2uk', 'Puertos': 29, 'Ubicacion': (3.6431650651103875, 74.4301476763341), 'AnchoDeBanda': 595}"
444,"{'ID': 444, 'Marca': 'Netgear', 'Modelo': 'ADTAnI', 'Puertos': 26, 'Ubicacion': (59.569734147193756, 39.62709387564224), 'AnchoDeBanda': 762}"
445,"{'ID': 445, 'Marca': 'FireEye', 'Modelo': 'd9MA8m', 'Puertos': 13, 'Ubicacion': (69.42093007023128, 61.57569248540026), 'AnchoDeBanda': 710}"
446,"{'ID': 446, 'Marca': 'Huawei', 'Modelo': 'tCuTJW', 'Puertos': 16, 'Ubicacion': (77.88740567584047, 21.162270570800025), 'AnchoDeBanda': 157}"
447,"{'ID': 447, 'Marca': 'Cisco', 'Modelo': 'mZZrir', 'Puertos': 28, 'Ubicacion': (86.06708984363758, 14.257992789252793), 'AnchoDeBanda': 654}"
448,"{'ID': 448, 'Marca': 'Huawei', 'Modelo': '0pIfyc', 'Puertos': 48, 'Ubicacion': (75.8814841194529, 56.23873185720419), 'AnchoDeBanda': 908}"
449,"{'ID': 449, 'Marca': 'HP', 'Modelo': 'XqwtVO', 'Puertos': 40, 'Ubicacion': (13.147435609750302, 78.24076429311495), 'AnchoDeBanda': 925}"
450,"{'ID': 450, 'Marca': 'Ubiquiti Networks', 'Modelo': 'l7YSpO', 'Puertos': 42, 'Ubicacion': (50.6508740347979, 96.93903271773212), 'AnchoDeBanda': 870}"
451,"{'ID': 451, 'Marca': 'HP', 'Modelo': 'JF37Li', 'Puertos': 12, 'Ubicacion': (59.805343938892854, 48.88629151972707), 'AnchoDeBanda': 987}"
452,"{'ID': 452, 'Marca': 'F5 Networks', 'Modelo': 'IO9xrO', 'Puertos': 28, 'Ubicacion': (18.696562650788174, 97.32552425997653), 'AnchoDeBanda': 834}"
453,"{'ID': 453, 'Marca': 'Pulse Secure', 'Modelo': 'kPMTtX', 'Puertos': 37, 'Ubicacion': (96.88417118830841, 67.45993453729136), 'AnchoDeBanda': 863}"
454,"{'ID': 454, 'Marca': 'Barracuda Networks', 'Modelo': 'ODgfhx', 'Puertos': 26, 'Ubicacion': (41.912913040722685, 3.895169226389561), 'AnchoDeBanda': 911}"
455,"{'ID': 455, 'Marca': 'Dell', 'Modelo': 'OqoOZb', 'Puertos': 39, 'Ubicacion': (56.781951538208986, 49.3841504644436), 'AnchoDeBanda': 46}"
456,"{'ID': 456, 'Marca': 'Dell', 'Modelo': 'hqM6k9', 'Puertos': 20, 'Ubicacion': (85.93234432190958, 7.15153097933462), 'AnchoDeBanda': 171}"
457,"{'ID': 457, 'Marca': 'Aruba Networks', 'Modelo': '4SN5HF', 'Puertos': 23, 'Ubicacion': (63.81625149318707, 9.63452271204731), 'AnchoDeBanda': 812}"
458,"{'ID': 458, 'Marca': 'Juniper Networks', 'Modelo': 'fiMW9Q', 'Puertos': 42, 'Ubicacion': (72.58173426002321, 18.449421292026447), 'AnchoDeBanda': 70}"
459,"{'ID': 459, 'Marca': 'Juniper Networks', 'Modelo': 'l8n964', 'Puertos': 8, 'Ubicacion': (40.49530317627483, 12.014555498349521), 'AnchoDeBanda': 288}"
460,"{'ID': 460, 'Marca': 'Check Point', 'Modelo': 'q4ijAs', 'Puertos': 8, 'Ubicacion': (83.33328926654113, 33.44628792708717), 'AnchoDeBanda': 110}"
461,"{'ID': 461, 'Marca': 'Ubiquiti Networks', 'Modelo': 'bAIDd8', 'Puertos': 16, 'Ubicacion': (69.98462104304991, 64.16986736665079), 'AnchoDeBanda': 218}"
462,"{'ID': 462, 'Marca': 'F5 Networks', 'Modelo': 'eqUmE7', 'Puertos': 31, 'Ubicacion': (7.264058501919212, 97.76225756538506), 'AnchoDeBanda': 46}"
463,"{'ID': 463, 'Marca': 'Huawei', 'Modelo': 'IE6vpu', 'Puertos': 14, 'Ubicacion': (88.56333088915271, 72.41882077740071), 'AnchoDeBanda': 516}"
464,"{'ID': 464, 'Marca': 'Cisco', 'Modelo': 'pAXCBt', 'Puertos': 36, 'Ubicacion': (84.76368398510033, 87.05040174271055), 'AnchoDeBanda': 18}"
465,"{'ID': 465, 'Marca': 'Check Point', 'Modelo': '57YY0a', 'Puertos': 6, 'Ubicacion': (74.97309957641582, 97.49187314333987), 'AnchoDeBanda': 767}"
466,"{'ID': 466, 'Marca': 'Barracuda Networks', 'Modelo': 'YKAbNe', 'Puertos': 48, 'Ubicacion': (25.772799101134215, 21.726529843003096), 'AnchoDeBanda': 304}"
467,"{'ID': 467, 'Marca': 'Avaya', 'Modelo': 'gIAKdt', 'Puertos': 18, 'Ubicacion': (88.09756149637745, 61.12121118987849), 'AnchoDeBanda': 661}"
468,"{'ID': 468, 'Marca': 'Aruba Networks', 'Modelo': 'srDBio', 'Puertos': 17, 'Ubicacion': (52.3470757922746, 72.38678760982938), 'AnchoDeBanda': 487}"
469,"{'ID': 469, 'Marca': 'Avaya', 'Modelo': 'wvzyVo', 'Puertos': 9, 'Ubicacion': (14.538102639409733, 75.89624539694219), 'AnchoDeBanda': 43}"
470,"{'ID': 470, 'Marca': 'Barracuda Networks', 'Modelo': 'VllCIS', 'Puertos': 14, 'Ubicacion': (52.03981859424558, 99.65278109872905), 'AnchoDeBanda': 60}"
471,"{'ID': 471, 'Marca': 'Barracuda Networks', 'Modelo': 'lTszlE', 'Puertos': 30, 'Ubicacion': (72.58730222956909, 58.38144359645936), 'AnchoDeBanda': 440}"
472,"{'ID': 472, 'Marca': 'HP', 'Modelo': 'Y0xeWA', 'Puertos': 26, 'Ubicacion': (2.2182158871166813, 86.05935682927372), 'AnchoDeBanda': 500}"
473,"{'ID': 473, 'Marca': 'F5 Networks', 'Modelo': 'nHuqTC', 'Puertos': 47, 'Ubicacion': (63.20222533343083, 88.79278538322734), 'AnchoDeBanda': 773}"
474,"{'ID': 474, 'Marca': 'Zyxel', 'Modelo': 'gP26gC', 'Puertos': 40, 'Ubicacion': (64.2184691511025, 99.42573453438767), 'AnchoDeBanda': 782}"
475,"{'ID': 475, 'Marca': 'Riverbed Technology', 'Modelo': 'tNERVK', 'Puertos': 49, 'Ubicacion': (93.73473826334828, 6.09874446801868), 'AnchoDeBanda': 551}"
476,"{'ID': 476, 'Marca': 'TP-Link', 'Modelo': 'mqEXWh', 'Puertos': 29, 'Ubicacion': (43.73175962232582, 84.94344999748265), 'AnchoDeBanda': 628}"
477,"{'ID': 477, 'Marca': 'FireEye', 'Modelo': 'iGRGdX', 'Puertos': 43, 'Ubicacion': (33.162287661558786, 98.76530692223623), 'AnchoDeBanda': 711}"
478,"{'ID': 478, 'Marca': 'Barracuda Networks', 'Modelo': 'Ol8mtU', 'Puertos': 34, 'Ubicacion': (13.63391761982351, 22.739047504659048), 'AnchoDeBanda': 709}"
479,"{'ID': 479, 'Marca': 'Avaya', 'Modelo': 'hWYmbK', 'Puertos': 42, 'Ubicacion': (35.31111860918751, 97.6036357964384), 'AnchoDeBanda': 651}"
480,"{'ID': 480, 'Marca': 'Netgear', 'Modelo': '3uAGy6', 'Puertos': 31, 'Ubicacion': (92.43459388296533, 98.50543937689943), 'AnchoDeBanda': 691}"
481,"{'ID': 481, 'Marca': 'Juniper Networks', 'Modelo': 'D0gv6X', 'Puertos': 28, 'Ubicacion': (47.88762368527725, 72.22601494198246), 'AnchoDeBanda': 851}"
482,"{'ID': 482, 'Marca': 'Barracuda Networks', 'Modelo': 'mRrxZm', 'Puertos': 30, 'Ubicacion': (5.794622618022338, 91.0847336942866), 'AnchoDeBanda': 457}"
483,"{'ID': 483, 'Marca': 'Check Point', 'Modelo': 'QtAsab', 'Puertos': 29, 'Ubicacion': (48.41639382771976, 56.82669479509149), 'AnchoDeBanda': 593}"
484,"{'ID': 484, 'Marca': 'TP-Link', 'Modelo': 'lkmbyL', 'Puertos': 48, 'Ubicacion': (11.945228317233758, 73.93820860817871), 'AnchoDeBanda': 350}"
485,"{'ID': 485, 'Marca': 'Riverbed Technology', 'Modelo': 'rN9dUT', 'Puertos': 17, 'Ubicacion': (71.42628676384936, 28.412415235973942), 'AnchoDeBanda': 59}"
486,"{'ID': 486, 'Marca': 'TP-Link', 'Modelo': 'Gmwc0F', 'Puertos': 13, 'Ubicacion': (32.67883945041111, 40.25563102730176), 'AnchoDeBanda': 277}"
487,"{'ID': 487, 'Marca': 'Avaya', 'Modelo': 'uUuy9p', 'Puertos': 45, 'Ubicacion': (14.127689141893708, 94.79985305054372), 'AnchoDeBanda': 329}"
488,"{'ID': 488, 'Marca': 'FireEye', 'Modelo': 'KC0gG3', 'Puertos': 27, 'Ubicacion': (35.42910738071813, 80.32391050555904), 'AnchoDeBanda': 411}"
489,"{'ID': 489, 'Marca': 'HP', 'Modelo': 'yCZkd9', 'Puertos': 38, 'Ubicacion': (54.13425565403486, 33.71946819190244), 'AnchoDeBanda': 6}"
490,"{'ID': 490, 'Marca': 'Pulse Secure', 'Modelo': 'dI2rjR', 'Puertos': 13, 'Ubicacion': (94.03844599375562, 32.397912537917485), 'AnchoDeBanda': 274}"
491,"{'ID': 491, 'Marca': 'Dell', 'Modelo': 'sWk59V', 'Puertos': 10, 'Ubicacion': (10.83239980565679, 47.73412702996157), 'AnchoDeBanda': 26}"
492,"{'ID': 492, 'Marca': 'Netgear', 'Modelo': 'a6DWBe', 'Puertos': 7, 'Ubicacion': (86.80095538588728, 75.88198536606028), 'AnchoDeBanda': 575}"
493,"{'ID': 493, 'Marca': 'TP-Link', 'Modelo': 'ntFr66', 'Puertos': 48, 'Ubicacion': (65.35818854381994, 29.131112819924997), 'AnchoDeBanda': 136}"
494,"{'ID': 494, 'Marca': 'Avaya', 'Modelo': 'Na9CYE', 'Puertos': 33, 'Ubicacion': (91.35148155240901, 8.714240023966491), 'AnchoDeBanda': 559}"
495,"{'ID': 495, 'Marca': 'Dell', 'Modelo': 'b8AqMA', 'Puertos': 29, 'Ubicacion': (86.32711126064993, 18.869969354377858), 'AnchoDeBanda': 637}"
496,"{'ID': 496, 'Marca': 'Huawei', 'Modelo': 'kNuqkW', 'Puertos': 23, 'Ubicacion': (83.19134808746695, 37.049615815495194), 'AnchoDeBanda': 197}"
497,"{'ID': 497, 'Marca': 'F5 Networks', 'Modelo': 'kPNGTP', 'Puertos': 20, 'Ubicacion': (79.57764034415517, 16.72996478352453), 'AnchoDeBanda': 847}"
